pop,data_loc,1,2,3,4,5,6,7,8,9,10,11,12,mean
PWS,"CAPE CLEARE - 17 NM South of Montague Is, AK",43.1,42,41.3,41.6,45.5,51.6,55.4,56.3,54,50.6,47.1,44.4,47.74166667
SS,CAPE EDGECUMBE,44.3,43.2,42.8,44,47.1,51.5,55.5,57.6,55.8,52,48.1,45.4,48.94166667
TB,"Village Cove, St Paul Island",32.2,31.7,31.8,32.9,36.7,40.6,44.2,47.5,47.4,43.5,38.2,35.2,38.49166667
WA,"TILLAMOOK, OR - 85 NM WNW of Tillamook, OR",49.2,48.9,49.4,50.4,53.3,57.6,61.9,64.2,63.2,59.7,55,50.5,55.275
CA,"SAN FRANCISCO - 18NM West of San Francisco, CA",53.3,53.2,53.1,52.2,52.3,53.4,55.5,57.3,57.9,56.9,55.4,54,54.54166667
BC,Haida Gwaii,42,43,42,46,47,49,53,55,54,53,47,44,47.91666667
